;projet;tme;Exam;Note Finale
28716919;14;13;9;11.7
28714013;14;14;14;14
3701222;10;13;7;9.7
3802343;;;;
28615318;14;13;6;10.5
3803488;7;12;12;10.5
3874826;15;14;3;9.9
28708884;15;13;13;13.6
28712356;14;17;15;15.3
28716727;15;14;10.5;12.9
3528229;17;17;16.5;16.8
3874495;16;13;16.5;15.3
3309961;;13;;
3801679;16;15;13;14.5
3531416;17;17;15;16.2
28716914;14;17;10;13.3
3803192;9;12;9.5;10.1
3801757;14;14;7.5;11.4
28713967;16;14;9;12.6
3777097;15;11;14;13.4
3405479;13;;;
28714050;14;14;14.5;14.2
3772302;10;13;5;8.9
3680636;14;14;8;11.6
3872195;13;10;2;7.7
3674958;10;13;10;10.9
28705410;12;13;12;12.3
28719686;10;13;8.5;10.3
3522046;16;17;14;15.5
28712628;14;16;6.5;11.6
28712175;;;;
3870476;12;13;8;10.7
3671083;;;;
3871772;13;13;6;10.2
3802781;17;13;8.5;12.4
3670293;14;13;6;10.5
28718532;;;;
3670163;7;13;6.5;8.6
28712123;15;17;14;15.2
3775613;14;13;10;12.1
28714150;15;14;7.5;11.7
28717576;15;0;14.5;10.3
28615295;13;14;10.5;12.3
3772964;15;14;11.5;13.3
3774632;15;14;14.5;14.5
3803676;14;14;7.5;11.4
28707407;15;14;16.5;15.3
28710822;15;13;13.5;13.8
28720085;13;13;11.5;12.4
3530508;14;12;6;10.2
3302297;13;14;2.5;9.1
3802993;16;17;9.5;13.7
28705480;;;;
3772400;;;;
28716921;;;;
28721386;14;14;8;11.6
3872944;12;13;2;8.3
28709765;14;14;9;12
28608098;9;10;15.5;11.9
3677952;14;14;14.5;14.2
16003610;17;13;7.5;12
3670340;12;14;5;9.8
3872840;16;13;5.5;10.9
3803464;13;15;9.5;12.2
3530511;15;11;12.5;12.8
3872672;16;13;2;9.5
28716857;13;15;12;13.2
3407352;7;14;3;7.5
28712004;17;17;16.5;16.8
3802643;9;12;13.5;11.7
3532836;16;15;13.5;14.7
28705392;14;16;15;15
28716061;16;15;19;16.9
3870122;17;15;13.5;15
3874034;13;13;5.5;10
28717413;14;13;10;12.1
;14;;;
;;;;
Moyenne;13.5;13.4;10.1;12.2
